Credit_rating,Age,Income,Credit_cards,Education,Car_loans
"Bad",53.863,"Low","5 or more","College","More than 2"
"Bad",29.797,"Medium","5 or more","High school","More than 2"
"Bad",26.724,"Medium","5 or more","College","More than 2"
"Bad",24.202,"Medium","5 or more","High school","More than 2"
"Bad",34.360,"Low","Less than 5","High school","None or 1"
"Bad",24.865,"Medium","5 or more","High school","More than 2"
"Bad",33.743,"Medium","5 or more","College","More than 2"
"Bad",36.222,"Medium","Less than 5","High school","None or 1"
"Bad",24.222,"Low","5 or more","College","More than 2"
"Bad",43.814,"Low","5 or more","College","More than 2"
"Bad",22.577,"High","5 or more","College","More than 2"
"Bad",47.893,"High","5 or more","College","More than 2"
"Bad",37.563,"Low","5 or more","High school","None or 1"
"Bad",24.414,"Medium","5 or more","College","More than 2"
"Bad",28.234,"Medium","5 or more","High school","More than 2"
"Bad",20.589,"Medium","5 or more","High school","None or 1"
"Bad",27.883,"Medium","5 or more","High school","More than 2"
"Bad",23.604,"Low","5 or more","High school","More than 2"
"Bad",20.841,"Medium","Less than 5","College","More than 2"
"Bad",34.511,"Low","5 or more","College","More than 2"
"Bad",32.747,"Low","5 or more","College","More than 2"
"Bad",30.151,"Low","5 or more","College","More than 2"
"Bad",22.428,"Medium","5 or more","High school","More than 2"
"Bad",23.454,"Low","5 or more","High school","More than 2"
"Bad",31.802,"Medium","5 or more","High school","None or 1"
"Bad",22.964,"Low","5 or more","College","More than 2"
"Bad",37.318,"Low","5 or more","College","More than 2"
"Bad",29.353,"Medium","5 or more","College","More than 2"
"Bad",51.909,"Medium","5 or more","High school","None or 1"
"Bad",26.825,"Medium","5 or more","College","More than 2"
"Bad",40.758,"Low","5 or more","College","More than 2"
"Bad",40.515,"Medium","5 or more","High school","More than 2"
"Bad",25.150,"Medium","5 or more","High school","More than 2"
"Bad",30.291,"Medium","5 or more","High school","More than 2"
"Bad",20.572,"Low","5 or more","College","More than 2"
"Bad",29.599,"Medium","5 or more","College","None or 1"
"Bad",21.392,"Low","5 or more","High school","More than 2"
"Bad",26.524,"Medium","Less than 5","High school","None or 1"
"Bad",23.638,"Low","5 or more","High school","More than 2"
"Bad",24.874,"Medium","5 or more","College","More than 2"
"Bad",26.419,"Low","5 or more","High school","More than 2"
"Bad",31.895,"Medium","5 or more","College","More than 2"
"Bad",32.917,"Low","5 or more","College","More than 2"
"Bad",37.425,"Medium","5 or more","High school","More than 2"
"Bad",28.136,"Low","5 or more","High school","More than 2"
"Bad",24.715,"Medium","5 or more","High school","More than 2"
"Bad",35.117,"Medium","5 or more","High school","More than 2"
"Bad",32.563,"Medium","5 or more","College","More than 2"
"Bad",35.033,"Medium","5 or more","High school","More than 2"
"Bad",43.274,"Medium","5 or more","College","More than 2"
"Bad",23.534,"Low","5 or more","College","More than 2"
"Bad",25.011,"Medium","5 or more","High school","More than 2"
"Bad",26.607,"Low","5 or more","College","More than 2"
"Bad",41.411,"Medium","5 or more","High school","More than 2"
"Bad",20.348,"Low","Less than 5","College","None or 1"
"Bad",35.241,"Low","5 or more","High school","More than 2"
"Bad",44.299,"Low","5 or more","College","More than 2"
"Bad",38.612,"Medium","5 or more","High school","More than 2"
"Bad",33.531,"Medium","5 or more","High school","More than 2"
"Bad",22.530,"Medium","5 or more","High school","More than 2"
"Bad",46.513,"Low","5 or more","College","More than 2"
"Bad",28.049,"High","5 or more","College","More than 2"
"Bad",40.293,"Medium","5 or more","High school","More than 2"
"Bad",20.726,"Medium","Less than 5","College","None or 1"
"Bad",26.530,"Low","5 or more","College","More than 2"
"Bad",38.763,"Medium","Less than 5","High school","None or 1"
"Bad",35.564,"High","5 or more","College","More than 2"
"Bad",28.248,"Medium","5 or more","College","More than 2"
"Bad",37.121,"Medium","Less than 5","High school","None or 1"
"Bad",22.783,"Medium","Less than 5","College","None or 1"
"Bad",37.071,"Medium","Less than 5","College","None or 1"
"Bad",35.003,"High","5 or more","High school","More than 2"
"Bad",39.016,"Medium","5 or more","College","More than 2"
"Bad",29.210,"Medium","5 or more","College","More than 2"
"Bad",21.606,"Medium","5 or more","College","More than 2"
"Bad",25.406,"Low","5 or more","College","More than 2"
"Bad",36.409,"Medium","5 or more","High school","More than 2"
"Bad",34.306,"Low","5 or more","College","More than 2"
"Bad",20.183,"Medium","5 or more","High school","More than 2"
"Bad",24.966,"Low","Less than 5","High school","None or 1"
"Bad",22.991,"Medium","Less than 5","High school","None or 1"
"Bad",22.931,"Low","5 or more","High school","More than 2"
"Bad",31.767,"Low","5 or more","High school","More than 2"
"Bad",40.783,"Medium","5 or more","High school","More than 2"
"Bad",25.712,"Medium","5 or more","College","More than 2"
"Bad",20.233,"Low","5 or more","College","More than 2"
"Bad",20.821,"Low","5 or more","High school","More than 2"
"Bad",22.241,"Medium","5 or more","High school","More than 2"
"Bad",23.317,"Medium","5 or more","College","More than 2"
"Bad",26.167,"Medium","5 or more","College","More than 2"
"Bad",26.223,"Medium","Less than 5","College","None or 1"
"Bad",28.905,"Medium","5 or more","High school","More than 2"
"Bad",30.319,"Medium","5 or more","College","More than 2"
"Bad",22.084,"Medium","5 or more","High school","More than 2"
"Bad",22.068,"Medium","5 or more","College","More than 2"
"Bad",26.666,"High","5 or more","High school","More than 2"
"Bad",28.726,"Low","5 or more","High school","More than 2"
"Bad",31.088,"High","5 or more","College","More than 2"
"Bad",23.385,"Low","5 or more","College","None or 1"
"Bad",25.841,"Low","5 or more","College","None or 1"
"Bad",29.397,"Medium","5 or more","College","More than 2"
"Bad",37.357,"Medium","Less than 5","High school","None or 1"
"Bad",27.574,"Medium","5 or more","High school","More than 2"
"Bad",39.152,"Low","5 or more","College","More than 2"
"Bad",22.795,"High","5 or more","High school","More than 2"
"Bad",33.407,"Low","5 or more","College","More than 2"
"Bad",28.027,"Low","5 or more","College","None or 1"
"Bad",24.968,"Medium","5 or more","High school","More than 2"
"Bad",20.045,"Medium","5 or more","High school","More than 2"
"Bad",41.320,"Low","5 or more","High school","More than 2"
"Bad",31.903,"Low","Less than 5","College","More than 2"
"Bad",35.850,"Medium","5 or more","High school","More than 2"
"Bad",20.610,"Medium","5 or more","High school","More than 2"
"Bad",22.486,"Low","5 or more","High school","More than 2"
"Bad",33.080,"Low","5 or more","High school","More than 2"
"Bad",33.509,"Low","5 or more","High school","More than 2"
"Bad",24.565,"Medium","5 or more","High school","None or 1"
"Bad",22.381,"Medium","5 or more","College","More than 2"
"Bad",27.785,"High","5 or more","High school","More than 2"
"Bad",26.615,"Medium","5 or more","High school","More than 2"
"Bad",28.749,"Low","5 or more","College","None or 1"
"Bad",20.421,"Low","Less than 5","High school","None or 1"
"Bad",22.734,"Medium","5 or more","College","More than 2"
"Bad",21.731,"Low","5 or more","College","None or 1"
"Bad",25.632,"Medium","5 or more","High school","More than 2"
"Bad",34.556,"Medium","5 or more","College","More than 2"
"Bad",40.943,"Medium","5 or more","High school","None or 1"
"Bad",35.104,"Low","5 or more","High school","More than 2"
"Bad",27.000,"Low","5 or more","College","More than 2"
"Bad",20.596,"Medium","5 or more","High school","More than 2"
"Bad",44.557,"Medium","5 or more","College","More than 2"
"Bad",33.806,"Low","5 or more","High school","More than 2"
"Bad",30.950,"Medium","5 or more","High school","More than 2"
"Bad",30.904,"Low","5 or more","College","More than 2"
"Bad",35.062,"Low","Less than 5","High school","None or 1"
"Bad",36.364,"Medium","5 or more","High school","More than 2"
"Bad",27.884,"Medium","5 or more","High school","More than 2"
"Bad",32.445,"Medium","5 or more","College","More than 2"
"Bad",30.569,"Low","5 or more","College","More than 2"
"Bad",31.637,"Medium","5 or more","High school","More than 2"
"Bad",22.501,"Low","5 or more","High school","More than 2"
"Bad",31.817,"Low","5 or more","High school","More than 2"
"Bad",33.835,"Low","5 or more","College","None or 1"
"Bad",22.133,"Medium","5 or more","College","More than 2"
"Bad",26.882,"Medium","5 or more","College","More than 2"
"Bad",36.352,"Low","5 or more","High school","More than 2"
"Bad",27.899,"Medium","Less than 5","High school","More than 2"
"Bad",26.689,"Medium","5 or more","College","More than 2"
"Bad",34.114,"Medium","5 or more","High school","More than 2"
"Bad",29.243,"Low","5 or more","College","More than 2"
"Bad",33.943,"Low","5 or more","College","More than 2"
"Bad",31.935,"Low","5 or more","College","More than 2"
"Bad",25.364,"Medium","5 or more","High school","More than 2"
"Bad",29.335,"Low","5 or more","High school","More than 2"
"Bad",35.542,"Medium","Less than 5","High school","More than 2"
"Bad",27.365,"Medium","Less than 5","College","None or 1"
"Bad",34.431,"Low","5 or more","College","More than 2"
"Bad",26.508,"Medium","5 or more","College","More than 2"
"Bad",26.526,"Medium","5 or more","College","More than 2"
"Bad",22.439,"High","5 or more","College","None or 1"
"Bad",29.609,"Medium","Less than 5","College","None or 1"
"Bad",21.974,"Medium","5 or more","College","More than 2"
"Bad",22.839,"Medium","5 or more","High school","More than 2"
"Bad",39.009,"Medium","5 or more","College","More than 2"
"Bad",31.816,"Medium","5 or more","High school","More than 2"
"Bad",30.645,"Low","5 or more","High school","More than 2"
"Bad",34.376,"Medium","5 or more","College","More than 2"
"Bad",29.665,"Low","5 or more","High school","More than 2"
"Bad",25.658,"Medium","5 or more","High school","More than 2"
"Bad",21.379,"Low","5 or more","College","None or 1"
"Bad",45.736,"Low","Less than 5","College","None or 1"
"Bad",37.546,"Low","5 or more","High school","More than 2"
"Bad",31.047,"Low","5 or more","High school","More than 2"
"Bad",30.165,"Medium","5 or more","High school","More than 2"
"Bad",56.675,"Low","5 or more","High school","More than 2"
"Bad",40.496,"Medium","5 or more","High school","More than 2"
"Bad",51.628,"Medium","Less than 5","College","None or 1"
"Bad",25.438,"Low","5 or more","College","More than 2"
"Bad",32.930,"Low","5 or more","College","More than 2"
"Bad",37.313,"High","5 or more","College","More than 2"
"Bad",24.053,"Low","5 or more","High school","More than 2"
"Bad",23.626,"Medium","5 or more","High school","More than 2"
"Bad",27.183,"Medium","5 or more","High school","More than 2"
"Bad",32.037,"High","Less than 5","College","None or 1"
"Bad",22.901,"Low","5 or more","High school","More than 2"
"Bad",25.017,"Medium","5 or more","College","More than 2"
"Bad",31.922,"Medium","5 or more","College","More than 2"
"Bad",33.074,"Medium","5 or more","College","More than 2"
"Bad",33.094,"Medium","Less than 5","College","None or 1"
"Bad",31.349,"Low","5 or more","High school","None or 1"
"Bad",26.070,"High","5 or more","High school","None or 1"
"Bad",29.921,"Low","5 or more","High school","More than 2"
"Bad",30.147,"Low","5 or more","College","More than 2"
"Bad",40.393,"Medium","5 or more","College","More than 2"
"Bad",23.072,"Medium","5 or more","High school","More than 2"
"Bad",26.243,"Medium","Less than 5","College","None or 1"
"Bad",34.061,"Medium","5 or more","High school","More than 2"
"Bad",28.377,"Medium","5 or more","College","More than 2"
"Bad",24.023,"Medium","5 or more","College","More than 2"
"Bad",29.872,"Medium","Less than 5","High school","None or 1"
"Bad",37.786,"Low","5 or more","College","More than 2"
"Bad",44.468,"Medium","5 or more","High school","More than 2"
"Bad",25.378,"Medium","5 or more","College","More than 2"
"Bad",32.609,"Medium","5 or more","High school","More than 2"
"Bad",22.646,"Medium","5 or more","High school","More than 2"
"Bad",21.917,"Medium","5 or more","High school","More than 2"
"Bad",25.341,"Medium","Less than 5","High school","None or 1"
"Bad",37.678,"Medium","5 or more","College","More than 2"
"Bad",27.430,"Low","5 or more","High school","More than 2"
"Bad",41.714,"Low","5 or more","High school","More than 2"
"Bad",34.815,"Low","5 or more","College","More than 2"
"Bad",32.429,"Low","5 or more","High school","More than 2"
"Bad",33.913,"Low","5 or more","High school","More than 2"
"Bad",23.245,"Low","5 or more","High school","More than 2"
"Bad",32.911,"Medium","5 or more","High school","More than 2"
"Bad",29.083,"Medium","5 or more","College","More than 2"
"Bad",40.205,"Medium","5 or more","High school","More than 2"
"Bad",25.319,"Low","5 or more","High school","More than 2"
"Bad",44.686,"Medium","5 or more","College","More than 2"
"Bad",26.298,"Low","5 or more","College","More than 2"
"Bad",28.438,"Low","5 or more","High school","More than 2"
"Bad",31.752,"Medium","Less than 5","College","None or 1"
"Bad",36.563,"Medium","Less than 5","College","None or 1"
"Bad",30.093,"Low","5 or more","High school","More than 2"
"Bad",27.644,"Low","5 or more","High school","More than 2"
"Bad",23.977,"Low","5 or more","High school","More than 2"
"Bad",23.410,"Low","5 or more","College","More than 2"
"Bad",23.793,"Low","5 or more","High school","More than 2"
"Bad",21.554,"Low","5 or more","High school","More than 2"
"Bad",35.293,"Low","Less than 5","College","None or 1"
"Bad",22.465,"High","5 or more","High school","None or 1"
"Bad",43.662,"Low","5 or more","High school","More than 2"
"Bad",20.395,"Low","Less than 5","College","More than 2"
"Bad",25.112,"Medium","5 or more","College","More than 2"
"Bad",23.031,"Low","5 or more","High school","More than 2"
"Bad",25.474,"Medium","5 or more","College","None or 1"
"Bad",27.104,"Medium","5 or more","High school","More than 2"
"Bad",30.319,"Low","5 or more","College","More than 2"
"Bad",36.662,"Medium","5 or more","College","More than 2"
"Bad",36.481,"Low","5 or more","College","More than 2"
"Bad",31.196,"Medium","5 or more","High school","More than 2"
"Bad",31.078,"Medium","5 or more","College","More than 2"
"Bad",26.406,"Medium","5 or more","College","More than 2"
"Bad",31.997,"Low","5 or more","College","More than 2"
"Bad",37.450,"Medium","5 or more","High school","None or 1"
"Bad",35.829,"Low","5 or more","College","More than 2"
"Bad",25.027,"Medium","Less than 5","College","None or 1"
"Bad",21.007,"Low","Less than 5","High school","None or 1"
"Bad",31.991,"High","Less than 5","High school","More than 2"
"Bad",29.622,"Low","5 or more","High school","More than 2"
"Bad",43.982,"Medium","5 or more","High school","More than 2"
"Bad",21.828,"Medium","5 or more","High school","More than 2"
"Bad",31.051,"Low","5 or more","College","None or 1"
"Bad",27.418,"Low","5 or more","College","More than 2"
"Bad",29.994,"Low","5 or more","College","None or 1"
"Bad",23.024,"Medium","Less than 5","College","None or 1"
"Bad",25.737,"High","5 or more","High school","None or 1"
"Bad",28.500,"Low","5 or more","College","More than 2"
"Bad",20.544,"Low","5 or more","College","More than 2"
"Bad",30.558,"High","5 or more","High school","More than 2"
"Bad",38.392,"Medium","Less than 5","College","None or 1"
"Bad",24.161,"Low","5 or more","College","More than 2"
"Bad",26.950,"Low","5 or more","College","More than 2"
"Bad",38.885,"Low","5 or more","College","More than 2"
"Bad",30.957,"Medium","5 or more","High school","More than 2"
"Bad",22.015,"Medium","Less than 5","High school","None or 1"
"Bad",35.007,"Medium","5 or more","High school","More than 2"
"Bad",39.289,"Medium","5 or more","High school","More than 2"
"Bad",28.396,"Low","5 or more","High school","More than 2"
"Bad",33.289,"Medium","5 or more","High school","More than 2"
"Bad",41.313,"Medium","5 or more","High school","More than 2"
"Bad",41.309,"Medium","5 or more","High school","More than 2"
"Bad",40.858,"Low","5 or more","High school","More than 2"
"Bad",32.947,"Low","5 or more","High school","More than 2"
"Bad",34.878,"Medium","5 or more","College","More than 2"
"Bad",23.791,"Medium","5 or more","High school","More than 2"
"Bad",43.291,"High","5 or more","College","More than 2"
"Bad",22.473,"Low","Less than 5","High school","None or 1"
"Bad",27.458,"Medium","5 or more","High school","More than 2"
"Bad",27.766,"Low","5 or more","High school","More than 2"
"Bad",36.700,"Low","5 or more","College","More than 2"
"Bad",28.418,"Low","5 or more","College","More than 2"
"Bad",23.626,"Low","5 or more","College","More than 2"
"Bad",23.336,"Medium","5 or more","College","More than 2"
"Bad",38.069,"Low","5 or more","High school","More than 2"
"Bad",27.235,"Medium","5 or more","High school","More than 2"
"Bad",36.795,"Low","5 or more","High school","More than 2"
"Bad",28.462,"High","Less than 5","High school","None or 1"
"Bad",33.275,"Low","5 or more","High school","More than 2"
"Bad",25.623,"High","5 or more","College","More than 2"
"Bad",26.110,"Medium","5 or more","High school","None or 1"
"Bad",27.808,"Medium","Less than 5","College","None or 1"
"Bad",30.073,"High","5 or more","High school","More than 2"
"Bad",33.946,"Medium","Less than 5","High school","None or 1"
"Bad",26.986,"Low","5 or more","College","More than 2"
"Bad",39.147,"Low","5 or more","College","More than 2"
"Bad",26.924,"Medium","5 or more","High school","More than 2"
"Bad",37.656,"High","5 or more","College","More than 2"
"Bad",29.856,"Medium","5 or more","High school","More than 2"
"Bad",30.330,"Low","5 or more","College","More than 2"
"Bad",24.525,"Medium","Less than 5","College","None or 1"
"Bad",20.952,"Low","Less than 5","High school","More than 2"
"Bad",20.586,"Medium","5 or more","High school","More than 2"
"Bad",37.608,"High","5 or more","High school","More than 2"
"Bad",36.615,"Low","5 or more","College","More than 2"
"Bad",24.196,"Low","5 or more","High school","More than 2"
"Bad",22.919,"Medium","5 or more","College","None or 1"
"Bad",29.497,"Low","5 or more","High school","None or 1"
"Bad",23.650,"Low","5 or more","High school","More than 2"
"Bad",38.966,"Medium","5 or more","College","More than 2"
"Bad",21.524,"Medium","Less than 5","High school","None or 1"
"Bad",34.826,"Low","5 or more","College","More than 2"
"Bad",33.719,"Low","5 or more","High school","More than 2"
"Bad",31.109,"Low","5 or more","High school","More than 2"
"Bad",39.405,"Medium","5 or more","College","More than 2"
"Bad",36.941,"Medium","5 or more","College","More than 2"
"Bad",37.672,"High","5 or more","College","None or 1"
"Bad",21.329,"Low","5 or more","College","None or 1"
"Bad",20.504,"Low","5 or more","High school","None or 1"
"Bad",23.120,"Medium","5 or more","High school","More than 2"
"Bad",22.955,"Low","5 or more","College","More than 2"
"Bad",37.604,"Low","5 or more","College","More than 2"
"Bad",29.022,"Low","5 or more","College","More than 2"
"Bad",26.955,"Low","5 or more","High school","More than 2"
"Bad",40.335,"Medium","5 or more","College","More than 2"
"Bad",23.303,"Medium","5 or more","High school","More than 2"
"Bad",27.852,"Medium","5 or more","High school","More than 2"
"Bad",29.138,"Medium","5 or more","College","More than 2"
"Bad",25.048,"Medium","Less than 5","College","None or 1"
