CUSTID,性別,地区,アクセサリ合計金額,インナーウエア合計金額,バッグ合計金額,化粧品合計金額,衣服合計金額,靴合計金額,食品合計金額,合計金額
100112,"F","北区",0,2205,0,12625,28562,0,0,43392
100113,"M","西区",0,39441,21105,38899,24461,49993,70125,244024
100116,"F","東区",0,113120,0,0,0,0,0,113120
100117,"M","東区",13175,1666,0,9956,12492,4420,0,41709
100118,"M","西区",0,70143,7667,15500,3920,8490,0,105720
100120,"M","東区",0,0,0,20424,0,16348,10060,46832
100122,"F","東区",6980,68221,7193,132306,41357,7200,14760,278017
100126,"F","北区",13031,0,0,46103,42232,7796,14396,123558
100127,"M","北区",18690,76479,52276,74843,19037,12546,36766,290637
100130,"F","西区",0,28698,33384,56822,69708,1800,6366,196778
100135,"F","西区",0,3231,31502,25986,4897,9310,3081,78007
100137,"F","北区",13536,7014,1650,11150,12922,10145,5779,62196
100138,"M","東区",0,0,38602,30360,10430,10380,21000,110772
100144,"F","東区",0,0,0,0,27420,0,7080,34500
100145,"M","北区",0,32486,0,1121,32802,16400,11340,94149
100146,"M","西区",2850,29364,0,16383,3186,9975,8392,70150
100147,"M","東区",0,13403,0,10992,0,0,0,24395
100149,"F","北区",0,0,0,0,32460,0,0,32460
100150,"F","東区",0,0,83412,40018,0,0,0,123430
100151,"M","北区",0,3500,6912,21512,0,0,0,31924
100152,"M","西区",2980,4649,0,29873,47555,10724,51380,147161
100154,"F","北区",0,70800,3500,24538,5200,11775,12525,128338
100160,"F","東区",0,7900,1100,18121,0,2610,1195,30926
100161,"M","西区",0,9106,0,4680,29408,10890,15975,70059
100162,"M","東区",2972,19418,11960,0,31297,0,4362,70009
100163,"M","西区",2585,136685,1395,18814,12640,11612,19040,202771
100165,"F","西区",27258,60548,63622,90839,76043,26098,90536,434944
100167,"M","西区",0,7990,0,27875,0,14175,3840,53880
100168,"F","北区",0,31941,9328,81906,55992,12508,3965,195640
100169,"F","西区",1900,3850,0,18699,5418,3130,11050,44047
100170,"F","東区",0,62435,41010,9726,17242,22740,9239,162392
100171,"M","西区",0,13199,9471,27934,185781,2964,10264,249613
100176,"F","東区",0,17204,19404,11622,30870,15600,14400,109100
100177,"F","西区",174300,0,10840,87160,42740,5934,18400,339374
100181,"F","東区",129960,79613,0,256475,25557,12540,29370,533515
100182,"F","西区",0,1359,1564,6253,1881,0,0,11057
100184,"M","北区",24136,82995,77077,172304,78844,70744,94902,601002
100185,"M","北区",0,0,0,24830,0,0,0,24830
100186,"M","西区",5230,29193,6800,80222,95192,37308,6299,260244
100188,"M","北区",0,4000,0,1280,9500,8360,0,23140
100190,"F","東区",5880,15000,9541,0,0,0,0,30421
100192,"M","東区",5000,70994,0,10960,10636,0,110528,208118
100193,"F","西区",24800,55882,0,13200,15505,6600,0,115987
100194,"F","西区",0,0,0,19091,3780,5130,1195,29196
100196,"M","西区",0,25430,8380,8000,20894,1700,60275,124679
100197,"M","西区",0,0,7350,15012,0,1940,0,24302
100198,"M","北区",0,11670,107156,0,41940,3780,5800,170346
100199,"F","西区",0,9831,0,11190,102105,0,0,123126
100200,"M","東区",12920,4874,4550,39266,1080,32540,11680,106910
100201,"M","北区",1490,4101,20693,52990,1500,78660,13150,172584
100204,"M","西区",105162,64866,0,0,13750,0,0,183778
100206,"F","西区",23044,19140,7354,0,31740,2340,0,83618
100208,"F","東区",1490,0,0,2700,6415,13420,18800,42825
100209,"M","北区",1486,16200,2150,0,18532,5941,3300,47609
100211,"F","西区",0,2930,6362,16062,0,12800,0,38154
100212,"M","東区",0,17656,0,43796,0,3240,1580,66272
100213,"M","東区",0,0,4080,17248,3138,1980,2390,28836
100217,"M","西区",1538,39279,17895,26063,82430,12695,30246,210146
100218,"M",,0,20958,0,92509,88009,15599,2291,219366
100220,"F","東区",0,0,11460,55584,0,18410,0,85454
100221,"M","西区",0,3800,0,58185,0,0,3877,65862
100223,"M","西区",8509,5900,1700,4710,22704,0,0,43523
100224,"F","北区",0,0,18280,2580,45129,7740,17820,91549
100226,"F","北区",11875,33393,15321,42908,45397,10673,14782,174349
100227,"M","東区",0,6340,1725,13800,0,78317,1980,102162
100228,"F","東区",0,14368,0,21022,34369,18305,6200,94264
100230,"F","東区",5880,16405,20572,37728,6280,0,1340,88205
100231,"F","西区",0,41809,9255,49498,5030,25950,0,131542
100233,"M","東区",0,6940,0,3960,49400,0,0,60300
100234,"F","西区",1320,41224,141161,13772,78584,30899,146970,453930
100238,"F","西区",0,35684,1520,12501,64399,12860,0,126964
100239,"M","北区",0,27852,67308,110969,44198,8214,18392,276933
100240,"F","西区",0,43076,2686,0,307440,0,0,353202
100241,"F","西区",0,2214,0,0,38732,13818,3600,58364
100242,"M","西区",0,0,0,43590,13280,5700,0,62570
100243,"F","西区",1960,93116,58375,55845,83607,32985,3500,329388
100244,"M","北区",0,0,36447,0,0,0,0,36447
100248,"M","西区",0,18777,0,2406,7613,0,1358,30154
100249,"F","西区",0,0,0,10182,62000,24410,101080,197672
100251,"M","北区",0,11870,0,21840,1200,6000,1450,42360
100252,"M","北区",0,0,40530,10769,3980,0,0,55279
100253,"F","北区",0,81350,0,6000,145415,6250,0,239015
100255,"M","北区",0,0,0,14440,1590,0,0,16030
100258,"F","西区",0,3342,9120,4020,10688,0,14710,41880
100261,"F","西区",0,2100,2980,6999,105614,24630,10498,152821
100263,"M","西区",0,24938,0,25110,18000,2660,0,70708
100265,"F","北区",0,22067,20813,62892,8475,0,14522,128769
100266,"F","西区",12986,3110,0,15417,14306,5570,66380,117769
100268,"M","東区",4073,71351,20080,53030,35360,37240,8470,229604
100270,"M","北区",3875,15652,1440,6102,3760,1180,0,32009
100272,"F","西区",0,0,8730,16080,12540,0,0,37350
100273,"M","北区",0,129530,0,0,1590,36825,3800,171745
100278,"F","東区",0,6857,31790,0,7296,0,20535,66478
100280,"M","東区",0,43682,8910,62476,74820,21600,13458,224946
100281,"F","東区",3402,8374,6276,35972,20795,15020,16443,106282
100282,"F","北区",0,0,8980,40022,32860,4370,9710,95942
100285,"M","東区",0,2400,0,15712,9756,17705,1960,47533
100287,"M","北区",0,3508,3034,26450,44516,14380,1120,93008
100290,"F","西区",0,0,0,136350,10134,5190,0,151674
100293,"F","北区",0,20500,9310,142746,590200,35850,0,798606
100296,"F","西区",0,18960,0,3200,3880,0,4698,30738
100297,"F","西区",0,6390,1200,65765,34935,9249,36559,154098
100299,"M","北区",0,51540,0,5765,0,8630,3760,69695
100301,"F","西区",0,0,18804,23241,12920,12560,0,67525
100302,"F","西区",6917,0,0,40522,69294,13052,34580,164365
100303,"M","東区",42737,39274,49060,80145,9697,32908,10524,264345
100304,"F","西区",5996,18850,20083,19131,4190,32001,7352,107603
100308,"M","西区",0,0,26950,0,26622,0,0,53572
100309,"M","西区",0,0,0,13520,28620,0,0,42140
100310,"M","西区",0,52142,0,13928,27660,6000,0,99730
100311,"F","西区",19672,0,56310,14020,23332,0,0,113334
100312,"F","北区",0,0,4950,30275,57825,17770,24245,135065
100313,"M","西区",31274,4490,4450,2560,2920,3184,19500,68378
100314,"M","東区",0,23593,0,0,2350,0,0,25943
100318,"M","西区",0,0,0,0,0,0,32500,32500
100321,"M","東区",13810,2880,2880,12675,15470,41430,0,89145
100322,"F","東区",24480,0,14110,44100,24580,112408,0,219678
100323,"M","東区",3402,4232,6474,24256,9170,11624,11950,71108
100326,"M","北区",4158,3681,0,10560,22201,12142,0,52742
100327,"M","東区",0,0,0,18122,0,5980,1445,25547
100328,"F","西区",37500,18338,4650,0,24780,0,0,85268
100329,"F","北区",0,0,4829,13321,3154,14885,6298,42487
100331,"M","西区",14342,38351,25703,48023,68411,1169,12955,208954
100332,"M","西区",0,0,0,0,63160,9160,0,72320
100334,"M","西区",0,10191,5852,0,11042,1200,15060,43345
100335,"F","東区",44640,5340,0,0,0,7080,89054,146114
100337,"F","東区",0,176474,7200,38360,101021,0,1700,324755
100340,"M","北区",0,1045,7262,19901,0,14365,12112,54685
100342,"M","北区",0,128811,109500,229583,587807,19975,10304,1085980
100344,"F","西区",0,0,0,35768,2952,8743,0,47463
100345,"F","北区",4028,10361,12096,51789,25501,8702,2320,114797
100346,"F","北区",4256,7363,4703,18900,100853,0,0,136075
100349,"F","西区",0,1723,0,15890,12368,6616,4695,41292
100353,"F","北区",28460,21865,16396,18365,87776,39820,13936,226618
100355,"M","東区",0,1600,13800,43968,25928,35140,2416,122852
100357,"M","西区",12611,0,3163,0,7806,4220,0,27800
100358,"F","西区",0,0,30200,57196,3980,10546,35640,137562
100360,"F","東区",18439,33867,11340,33629,43402,17059,26192,183928
100361,"F","北区",0,336177,0,89884,20869,4130,11531,462591
100362,"M","西区",0,8055,30100,0,42841,3300,1890,86186
100366,"M","東区",0,0,0,9900,110100,4500,0,124500
100367,"M","東区",0,0,15702,21910,0,2940,0,40552
100368,"M","西区",4322,0,0,1558,19400,0,0,25280
100369,"M","東区",18650,4490,0,49134,8900,9320,26050,116544
100370,"F","北区",14342,3470,45849,82053,41475,34380,0,221569
100371,"M","東区",1076,19731,1160,14364,17412,35508,34772,124023
100372,"M","北区",0,10193,0,35910,16130,0,0,62233
100373,"M","東区",1805,17288,0,18717,37772,3729,12976,92287
100377,"F","北区",0,18775,0,15900,12150,11540,0,58365
100378,"M","北区",0,4800,6300,18000,0,0,20980,50080
100380,"F","西区",45864,27112,9294,21739,51007,9715,15748,180479
100381,"F","西区",0,0,0,1580,39026,5940,17700,64246
100382,"F","東区",18520,3266,35161,31700,9265,31232,27798,156942
100384,"F","北区",0,5846,7296,5328,30207,2300,0,50977
100389,"M","北区",179920,171945,14670,210761,271820,47732,19891,916739
100390,"F","東区",0,0,0,54135,12950,0,24460,91545
100393,"F","西区",19740,22485,0,6000,2680,1190,22500,74595
100395,"M","西区",0,9782,54742,13781,0,3120,0,81425
100396,"M","北区",2180,22812,0,0,66967,0,0,91959
100397,"M","西区",0,10673,1571,40987,19900,19119,17820,110070
100399,"M","西区",2980,36244,64732,20362,9581,12472,4639,151010
100400,"M","東区",38424,73622,29012,74501,15842,16348,11276,259025
100402,"F","北区",0,0,1100,30876,18590,4180,2820,57566
100403,"M","北区",0,0,3640,142140,12320,23289,29770,211159
100405,"M","東区",0,0,0,89426,12780,5040,102480,209726
100406,"M","西区",39020,46270,12050,73819,70186,12040,3355,256740
100408,"F","西区",0,0,0,22918,16472,0,41446,80836
100409,"F","東区",54645,51096,24758,29600,29059,19167,30119,238444
100410,"F","北区",0,12452,3800,14593,1920,22220,0,54985
100415,"M","西区",3680,122905,16745,19771,201591,16497,63969,445158
100416,"F","西区",5160,37802,30121,91043,190491,14638,16175,385430
100417,"M","西区",0,10144,18315,89850,11346,0,3250,132905
100418,"M","西区",3420,12830,5790,0,74410,3544,98900,198894
100419,"F","北区",0,8500,22262,1376,25660,3160,0,60958
100421,"F","東区",0,6750,6642,14680,0,3450,0,31522
100422,"F","北区",9300,5140,17784,4920,30257,20000,15504,102905
100426,"M","西区",6864,64224,11631,24000,68097,15050,5320,195186
100446,"M","東区",0,0,0,8000,31000,0,0,39000
100447,"F","北区",0,0,0,1593,57768,2550,0,61911
100448,"F","西区",6970,2300,1800,22910,19760,15110,0,68850
100449,"F","西区",0,0,10120,22480,1280,6680,28290,68850
100450,"F","東区",0,3890,0,13620,1780,18096,0,37386
100452,"F","西区",28000,4902,0,91970,22450,1000,0,148322
100454,"M","西区",166128,411584,12494,34142,333791,53353,21065,1032557
100456,"F","北区",3402,0,0,0,15700,1080,18580,38762
100459,"F","東区",152532,134508,21178,61952,174356,486761,5130,1036417
100461,"M","北区",20454,40618,39200,79305,39875,26550,16667,262669
100463,"F","北区",6966,0,8800,0,15090,10114,11950,52920
100464,"F","東区",5985,72375,33300,82265,61930,0,51464,307319
100467,"M","西区",0,8500,0,18776,0,3450,0,30726
100468,"M","西区",0,0,35159,0,15522,0,0,50681
100469,"M","東区",0,1260,0,8440,15230,4482,21352,50764
100474,"F","東区",0,1400,3400,136302,9000,35786,1980,187868
100475,"F","西区",47099,76070,5393,201027,69006,14328,135616,548539
100480,"M","西区",0,0,8610,0,44539,0,0,53149
100482,"F","西区",0,11736,0,22950,38212,37784,1824,112506
100484,"F","東区",0,0,8724,12230,0,23710,25758,70422
100486,"M","東区",40326,0,4650,5220,1286,14750,4668,70900
100487,"F","北区",25269,100410,26574,47508,49612,74108,71476,394957
100488,"M","西区",0,0,0,57228,0,0,0,57228
100489,"M","東区",0,50100,0,80587,0,13200,8500,152387
100490,"F","北区",0,0,5390,11442,19092,0,0,35924
100491,"M","西区",0,0,0,25764,0,0,0,25764
100493,"F","東区",0,0,14040,49284,6300,0,1590,71214
100494,"M","東区",3920,19048,30003,39185,48626,5288,26430,172500
100497,"M","東区",3725,106420,4272,75557,10725,15963,6899,223561
100498,"F","北区",0,0,42975,0,8295,0,0,51270
100499,"F","東区",6650,5524,2660,5986,3214,11370,8424,43828
100500,"M","東区",0,0,2016,1020,17820,4170,0,25026
100501,"F","西区",13074,97072,85383,188944,91859,46671,62064,585067
100507,"M","東区",0,7000,29914,94730,29216,2750,4900,168510
100508,"F","西区",0,5750,13065,14647,43600,15097,15836,107995
100510,"F","北区",9202,14126,18562,43980,52800,34820,14639,188129
100511,"M","西区",49675,34290,12461,57479,63510,1540,29595,248550
100513,"M","北区",31461,10268,0,3000,8285,20900,8705,82619
100514,"M","西区",9576,54968,25990,55366,8396,38833,25420,218549
100515,"F","西区",0,3380,0,0,41160,0,0,44540
100522,"M","北区",0,0,0,10250,22440,34970,0,67660
100525,"F","西区",0,3268,0,3495,1550,13120,9275,30708
100526,"F","西区",0,6150,0,0,19050,12600,6000,43800
100527,"F","北区",0,20441,3790,16619,3323,22054,34000,100227
100528,"F","西区",33250,0,0,0,20390,0,0,53640
100529,"M","東区",38342,4831,10100,11176,10800,0,0,75249
100531,"F","北区",0,0,0,11000,115160,7450,7000,140610
100532,"F","北区",2690,8020,11081,31770,47586,23567,27180,151894
100533,"F","東区",0,61565,16255,70813,39379,27637,22177,237826
100534,"M","東区",0,0,6145,3730,61404,11996,26810,110085
100536,"F","西区",0,23400,0,43500,0,0,0,66900
100537,"F","西区",0,0,0,7820,115299,5940,5225,134284
100538,"F","北区",0,12858,2266,6040,104918,13470,0,139552
100542,"M","西区",43174,21318,31274,14829,82681,122734,28500,344510
100544,"M","北区",22020,2900,2880,32012,17260,63838,26568,167478
100545,"M","西区",4480,35075,0,4770,2457,2954,0,49736
100547,"F","西区",0,119240,12805,186205,71733,6800,25380,422163
100548,"F","北区",0,14055,0,7860,24039,0,0,45954
100549,"F","北区",0,0,0,52782,49276,0,0,102058
100550,"F","西区",0,0,58740,79600,33600,10066,58020,240026
100551,"M","西区",4954,5172,9471,15950,1690,24050,0,61287
100554,"M","北区",0,0,38610,19800,7410,4380,0,70200
100555,"M","北区",12380,39699,0,6006,15300,7250,1960,82595
100556,"M","北区",0,0,9150,0,3876,13120,2995,29141
100557,"F","北区",0,0,0,5400,157810,2235,0,165445
100559,"M","東区",0,5581,12670,24947,7970,5425,1700,58293
100561,"F","西区",0,14110,0,18855,17800,15435,0,66200
100564,"M","西区",0,19360,33092,65580,75829,19780,1445,215086
100567,"M","西区",0,6154,3500,45860,8062,10350,7140,81066
100568,"M","西区",0,0,0,44087,2140,9387,5128,60742
100570,"M","西区",0,3040,25092,18118,12571,8760,146825,214406
100571,"M","東区",0,1382,24840,14421,0,9900,0,50543
100572,"F","西区",12308,0,1440,27816,5106,2640,0,49310
100575,"F","北区",23019,143875,39574,19452,20868,4856,18370,270014
100578,"M","北区",1144,2700,4140,10828,9190,3600,0,31602
100579,"F","北区",0,13090,40590,37400,0,0,0,91080
100582,"F","東区",0,80254,24970,15030,44685,1990,10914,177843
100585,"M","東区",10698,25367,19612,371230,73934,37229,34834,572904
100587,"F",,59640,215666,57282,72825,456926,69849,123294,1055482
100589,"M","西区",4065,8938,4690,152709,34994,4100,1015,210511
100590,"F","西区",0,0,0,0,30726,28430,0,59156
100592,"M","西区",3000,4279,6800,16019,7828,1780,0,39706
100596,"F","東区",0,2596,0,0,45140,0,0,47736
100600,"F","西区",7360,12150,10213,22330,29506,5650,1500,88709
100601,"M","西区",0,3310,0,37756,8450,16448,5724,71688
100602,"M","東区",0,16517,0,7782,3600,4700,0,32599
100603,"F","西区",0,33085,2622,1610,2082,3280,0,42679
100604,"F","西区",0,1305,3835,5250,3880,0,5970,20240
100607,"F","北区",4470,36197,5386,1000,0,38925,5990,91968
100608,"M","西区",61838,19954,2432,58012,19042,0,1056,162334
100609,"M","西区",10914,0,0,13836,16107,3200,0,44057
100610,"M","東区",0,16156,10170,80756,97099,18388,18660,241229
100614,"F","北区",6138,2759,10440,39804,10238,29000,3059,101438
100615,"M","北区",13030,8250,0,76135,7360,7920,0,112695
100616,"F","東区",6170,2675,0,19376,8310,3000,0,39531
100618,"M","北区",0,0,14000,20590,10100,5450,0,50140
100619,"F","西区",0,0,0,27993,0,0,6960,34953
100622,"F","北区",0,5640,0,11113,9091,18731,0,44575
100623,"F","東区",0,0,11910,16968,0,20860,0,49738
100624,"M","北区",0,2777,4400,13409,65230,39741,0,125557
100626,"F","西区",0,0,11115,20965,31359,8040,0,71479
100627,"F","西区",3875,15931,10760,7635,9108,2954,0,50263
100629,"F","西区",0,8675,0,31714,1980,1980,0,44349
100631,"F","北区",0,3452,1600,14590,15206,2605,0,37453
100632,"M","西区",0,20400,0,19800,0,22860,0,63060
100633,"F","西区",0,0,1480,1235,15426,5100,7680,30921
100637,"M","北区",0,4867,0,18645,50568,6670,0,80750
100638,"M","西区",0,1240,23997,69926,1590,103306,2896,202955
100639,"M","北区",0,0,1466,6964,41225,23735,0,73390
100640,"F","東区",0,61091,48435,14189,160038,9190,6774,299717
100642,"F","東区",33117,27938,11400,27102,85940,3574,8305,197376
100643,"F","東区",7568,3875,7180,0,0,14280,8650,41553
100644,"F","西区",0,2860,2150,47261,0,3790,0,56061
100645,"M","北区",0,10451,138901,0,1377,2250,0,152979
100646,"M","東区",35190,7483,0,14380,0,7900,0,64953
100648,"M","西区",0,,180463,189391,94690,28215,17980,535821
100650,"F","北区",0,8680,0,57226,11740,0,0,77646
100653,"M","東区",0,18290,5380,18344,7920,17628,9020,76582
100655,"F","西区",0,0,0,32349,0,2190,4308,38847
100656,"F","東区",,8680,1440,0,0,3240,6000,29925
100658,"F","西区",0,2540,1370,26160,0,6558,0,36628
100664,"F","東区",0,11357,16170,1786,5450,1140,15014,50917
100665,"M","北区",0,0,0,0,41680,0,0,41680
100666,"M","東区",0,6220,1885,1188,4000,19940,3257,36490
100667,"F","西区",4312,14256,66045,44820,7130,8130,7250,151943
100670,"F","東区",3850,7750,65840,41003,0,0,5500,123943
100672,"F","東区",4480,52753,0,56248,117360,3564,10175,244580
100677,"F","東区",114560,39800,9621,14500,15416,3478,27610,224985
100682,"M","東区",0,15220,14493,7820,20850,17300,12900,88583
100683,"M",,61954,44899,24194,86974,16279,15772,4833,254905
100685,"F","西区",14600,100921,3260,97126,107022,27584,66124,416637
100686,"M","北区",0,0,16860,82935,28040,0,0,127835
100689,"F","西区",0,0,0,44940,237060,0,0,282000
100692,"F","北区",0,45700,0,11700,3828,11257,59455,131940
100694,"M","北区",29449,0,5440,16900,14560,22790,99970,189109
100695,"F","西区",12500,15492,2025,96777,1750,1100,0,129644
100697,"M","西区",15000,3875,0,50764,17058,0,5410,92107
100698,"M","北区",0,,0,15750,15176,0,0,44422
100702,"M","東区",0,2878,0,0,18242,0,3239,24359
100703,"M","西区",26910,26919,0,13100,12770,19660,9730,109089
100704,"M","西区",0,11411,0,31790,18420,1200,6360,69181
100705,"M","西区",0,2980,3610,22314,4466,1368,7885,42623
100706,"F","北区",0,0,0,11560,111758,5250,3200,131768
100708,"F","東区",0,5380,6160,24970,7231,12022,0,55763
100709,"M","北区",25145,17117,26580,42486,10342,7260,10263,139193
100711,"F","西区",0,15500,0,13206,89836,49432,41660,209634
100713,"M","東区",0,6277,1480,210682,90770,18864,238738,566811
100715,"M","東区",7676,0,31035,17414,33350,27323,2850,119648
100716,"F","西区",0,22800,0,113665,17260,34000,4360,192085
100719,"M","北区",65620,29562,16460,254876,27690,82989,20600,497797
100720,"M","西区",2649,1900,3232,14571,35184,1200,18709,77445
100722,"F","東区",2500,18232,6000,67551,36200,48617,7350,186450
100725,"M","北区",16894,50560,1885,129253,22472,0,10363,231427
100726,"F","東区",0,20480,22306,33420,7850,44700,16600,145356
100727,"F","東区",0,0,0,11570,5340,12747,5208,34865
100728,"F","東区",0,0,1400,6820,0,4980,10192,23392
100730,"M","西区",0,8560,0,0,7540,0,2820,18920
100731,"M","東区",0,6552,4950,5385,0,1240,8640,26767
100732,"M","西区",0,6200,0,6200,11000,4380,4250,32030
100733,"F","西区",3860,18883,6975,19922,22272,27202,13251,112365
100734,"M","北区",0,16008,2250,13263,14675,1615,20629,68440
100735,"F","西区",0,16800,27360,15728,63410,0,116186,239484
100736,"M","東区",0,2450,28000,8166,0,6080,2046,46742
100737,"F","北区",0,0,0,35160,10200,0,0,45360
100739,"M","北区",0,0,0,12105,9960,3550,1824,27439
100740,"M","北区",0,38435,6100,25280,10980,104000,70345,255140
100741,"M","東区",0,10920,22809,33000,54135,13520,0,134384
100742,"M","東区",0,0,13188,18006,15160,6834,4788,57976
100747,"M","西区",6970,16460,12700,3100,202100,2640,0,243970
100750,"F","東区",72593,52230,44405,0,109322,5858,1330,285738
100751,"M","東区",0,0,0,0,63510,0,0,63510
100752,"M","東区",0,25104,9300,29265,54210,0,1370,119249
100753,"M","西区",0,136480,4756,23520,20299,0,14440,199495
100754,"M","西区",31714,9125,8739,3240,8588,5390,0,66796
100757,"M","東区",33898,79280,0,24855,58928,17388,1800,216149
100758,"F","東区",0,4240,18380,0,9075,0,0,31695
100759,"F","北区",0,1600,6500,23963,162440,5680,2140,202323
100761,"F","西区",0,1689,14850,6116,28312,1350,1280,53597
100762,"F","西区",0,0,0,22180,8100,8060,0,38340
100766,"M","西区",0,0,6900,168470,144567,0,94400,414337
100767,"M","北区",1248,17130,1395,15940,12915,0,4000,52628
100768,"F","北区",2650,47666,1314,150413,14682,7974,3478,228177
100769,"M","西区",0,0,17574,19600,61900,0,0,99074
100774,"M","北区",2980,34245,36117,0,103820,17874,20760,215796
100776,"F","西区",29900,0,0,94824,15483,122000,0,262207
100779,"F","西区",0,0,9300,0,6385,3060,24904,43649
100780,"F","西区",81202,55078,27926,78450,79735,10977,1680,335048
100782,"F","北区",0,3200,0,64360,71964,0,0,139524
100783,"M","北区",0,15064,82409,51369,6250,4288,4210,163590
100784,"M","西区",154770,117593,9840,171249,93318,46881,83323,676974
100785,"M","西区",0,20170,13600,3971,30640,4074,1256,73711
100788,"M","北区",0,21764,15480,6868,29480,0,0,73592
100793,"F","東区",0,1064,5271,24642,23259,16590,19224,90050
100798,"M","北区",0,1925,0,16052,8938,1650,8955,37520
100800,"F","東区",5100,121037,2780,0,1250,1980,0,132147
100802,"M","北区",15080,0,0,12374,11020,0,12120,50594
100804,,"北区",0,3238,0,6215,3980,0,28070,41503
100806,"F","北区",0,0,0,23230,18242,28500,2492,72464
100809,"F","西区",0,1051830,0,0,16080,0,22800,1090710
100811,"M","東区",0,48391,20160,96986,4650,10630,5240,186057
100812,"M","北区",1430,12346,0,10911,2884,8310,4200,40081
100813,"M","西区",0,15482,4400,17108,26904,7936,6480,78310
100814,,"西区",11536,2100,2880,84880,3980,6770,0,112146
100816,"M","西区",4308,0,0,14114,6007,1280,0,25709
100817,"M","北区",23127,79127,13500,119227,52870,1000,11674,300525
100819,"F","北区",0,34197,2432,9880,9723,0,4324,60556
100824,"F","東区",3659,10539,60622,36785,11780,11520,13916,148821
100825,"F","東区",4980,22156,11710,15113,11074,26894,3610,95537
100826,"M","東区",6246,76810,56327,46740,10802,47764,7552,252241
100829,"F","北区",19006,13753,2880,10690,6682,8930,1020,62961
100830,"F","西区",0,0,112895,18860,0,19780,9089,160624
100831,"M","西区",11495,33748,0,22168,11550,16157,27504,122622
100836,"M","東区",25086,29568,4203,24160,54654,6979,11775,156425
100839,"M","北区",0,2839,1455,1950,0,0,8500,14744
